,IncidentID,Timestamp,Freeway Number,Freeway Direction,hour,day
1342,20663085,2022-01-02 15:31:00,92.0,E,15,2
2051,20664244,2022-01-03 10:14:00,92.0,E,10,3
2278,20664615,2022-01-03 14:13:00,92.0,E,14,3
3330,20666250,2022-01-04 12:18:00,92.0,E,12,4
3336,20666259,2022-01-04 12:24:00,92.0,E,12,4
4345,20667768,2022-01-05 08:58:00,92.0,E,8,5
6805,20671440,2022-01-07 10:16:00,92.0,E,10,7
8158,20673507,2022-01-08 13:26:00,92.0,E,13,8
9323,20675385,2022-01-09 17:41:00,92.0,E,17,9
10412,20677026,2022-01-10 16:33:00,92.0,E,16,10
12577,20680222,2022-01-12 13:45:00,92.0,E,13,12
12725,20680423,2022-01-12 15:27:00,92.0,E,15,12
15143,20684031,2022-01-14 15:47:00,92.0,E,15,14
15144,20684032,2022-01-14 15:46:00,92.0,E,15,14
17229,20687269,2022-01-16 14:43:00,92.0,E,14,16
18966,20690076,2022-01-18 09:25:00,92.0,E,9,18
18983,20690096,2022-01-18 09:38:00,92.0,E,9,18
19299,20690536,2022-01-18 14:28:00,92.0,E,14,18
20731,20692638,2022-01-19 16:51:00,92.0,E,16,19
20862,20692817,2022-01-19 18:18:00,92.0,E,18,19
20863,20692818,2022-01-19 18:17:00,92.0,E,18,19
20912,20692897,2022-01-19 18:59:00,92.0,E,18,19
21524,20693870,2022-01-20 10:34:00,92.0,E,10,20
23415,20696628,2022-01-21 17:26:00,92.0,E,17,21
23457,20696696,2022-01-21 17:56:00,92.0,E,17,21
23458,20696697,2022-01-21 17:51:00,92.0,E,17,21
25735,20700248,2022-01-23 16:37:00,92.0,E,16,23
25778,20700318,2022-01-23 17:25:00,92.0,E,17,23
25810,20700368,2022-01-23 17:50:00,92.0,E,17,23
26634,20701616,2022-01-24 12:43:00,92.0,E,12,24
28365,20704169,2022-01-25 18:24:00,92.0,E,18,25
28994,20705101,2022-01-26 09:34:00,92.0,E,9,26
30042,20706670,2022-01-27 06:59:00,92.0,E,6,27
30043,20706671,2022-01-27 06:57:00,92.0,E,6,27
30532,20707330,2022-01-27 13:38:00,92.0,E,13,27
30852,20707789,2022-01-27 17:36:00,92.0,E,17,27
30853,20707790,2022-01-27 17:34:00,92.0,E,17,27
30854,20707791,2022-01-27 17:30:00,92.0,E,17,27
31377,20708588,2022-01-28 07:22:00,92.0,E,7,28
31693,20709006,2022-01-28 11:25:00,92.0,E,11,28
31940,20709325,2022-01-28 14:26:00,92.0,E,14,28
32845,20710671,2022-01-29 07:23:00,92.0,E,7,29
34229,20712865,2022-01-30 14:51:00,92.0,E,14,30
34266,20712916,2022-01-30 15:19:00,92.0,E,15,30
34341,20713017,2022-01-30 16:25:00,92.0,E,16,30
35316,20714511,2022-01-31 13:59:00,92.0,E,13,31
